年月日,開盤價,最高價,最低價,收盤價,報酬率
2017/1/3,181.50,183.50,181.00,183.00,0.8264
2017/1/4,183.00,184.00,181.50,183.00,0.0000
2017/1/5,182.00,183.50,181.50,183.50,0.2732
2017/1/6,184.00,184.50,183.50,184.00,0.2725
2017/1/9,184.00,185.00,183.00,184.00,0.0000
2017/1/10,184.50,185.50,183.50,184.00,0.0000
2017/1/11,185.00,185.00,181.50,182.00,-1.0870
2017/1/12,182.50,185.50,182.50,184.50,1.3736
2017/1/13,180.50,182.50,180.50,181.50,-1.6260
2017/1/16,180.00,180.50,179.00,179.50,-1.1019
2017/1/17,180.50,181.00,179.50,181.00,0.8357
2017/1/18,180.50,181.00,179.50,181.00,0.0000
2017/1/19,179.50,181.00,179.50,180.50,-0.2762
2017/1/20,181.00,181.50,180.50,181.00,0.2770
2017/1/23,182.50,185.00,182.50,185.00,2.2099
2017/1/24,185.00,186.50,184.50,185.50,0.2703
2017/2/2,188.00,188.50,184.00,184.50,-0.5391
2017/2/3,186.00,186.00,183.50,184.50,0.0000
2017/2/6,184.50,185.50,184.00,184.50,0.0000
2017/2/7,183.50,185.00,183.00,184.50,0.0000
2017/2/8,183.50,184.50,183.00,183.50,-0.5420
2017/2/9,184.00,185.50,183.50,184.00,0.2725
2017/2/10,184.50,185.50,184.00,185.50,0.8152
2017/2/13,186.50,188.00,186.50,187.50,1.0782
2017/2/14,189.00,190.00,187.50,187.50,0.0000
2017/2/15,187.00,189.50,186.50,189.00,0.8000
2017/2/16,190.00,190.50,188.00,189.00,0.0000
2017/2/17,190.00,190.50,189.00,189.50,0.2646
2017/2/18,190.00,190.50,189.50,189.50,0.0000
2017/2/20,190.00,190.50,189.50,190.00,0.2639
2017/2/21,190.00,190.00,188.50,190.00,0.0000
2017/2/22,190.50,191.00,188.50,188.50,-0.7895
2017/2/23,188.00,189.50,187.00,188.50,0.0000
2017/2/24,187.50,190.50,187.50,189.00,0.2653
2017/3/1,188.50,188.50,186.00,186.00,-1.5873
2017/3/2,188.00,188.50,185.00,186.00,0.0000
2017/3/3,184.50,185.00,184.00,184.00,-1.0753
2017/3/6,184.00,184.50,183.50,183.50,-0.2717
2017/3/7,184.00,185.50,184.00,185.50,1.0899
2017/3/8,186.00,188.00,185.50,187.00,0.8086
2017/3/9,185.50,186.00,184.00,184.50,-1.3369
2017/3/10,184.00,184.50,183.00,183.50,-0.5420
2017/3/13,185.00,186.50,185.00,186.50,1.6349
2017/3/14,188.00,188.00,186.00,186.00,-0.2681
2017/3/15,185.50,187.00,185.50,186.50,0.2688
2017/3/16,188.00,190.00,188.00,190.00,1.8767
2017/3/17,189.50,191.50,189.00,191.50,0.7895
2017/3/20,191.50,191.50,189.50,191.50,0.0000
2017/3/21,192.00,195.00,191.50,195.00,1.8277
2017/3/22,192.50,193.50,191.50,193.50,-0.7692
2017/3/23,192.00,193.50,192.00,193.50,0.0000
2017/3/24,192.00,193.00,192.00,192.50,-0.5168
2017/3/27,194.50,194.50,192.00,193.00,0.2597
2017/3/28,195.00,195.00,192.50,194.50,0.7772
2017/3/29,194.50,194.50,191.00,191.50,-1.5424
2017/3/30,192.50,193.00,190.50,191.50,0.0000
